url,image_url,final_image_label,final_url_label,adamcodd_vit_base_nsfw_detector_adult_score,adamcodd_vit_base_nsfw_detector_safe_score,adamcodd_vit_base_nsfw_detector_error,falconsai_nsfw_image_detection_adult_score,falconsai_nsfw_image_detection_normal_score,falconsai_nsfw_image_detection_error,freepik_nsfw_image_detector_high_score,freepik_nsfw_image_detector_low_score,freepik_nsfw_image_detector_medium_score,freepik_nsfw_image_detector_safe_score,freepik_nsfw_image_detector_error,marqo_adult_score,marqo_safe_score,marqo_error
http://outway.com,http://outway.com/cdn/shop/files/Artboard_4_dbd4222f-2c52-48e3-9ad6-c3ab40949704.jpg?v=1730262996&width=20,safe,normal,10.50%,89.50%,,1.18%,98.82%,,0.43%,0.13%,0.12%,99.33%,,0.0842801481485367,0.91571980714798,
https://www.effon.com,https://www.effon.com/wp-content/uploads/2023/11/DSC07250.png,normal,normal,27.21%,72.79%,,0.02%,99.98%,,0.31%,0.21%,0.12%,99.35%,,0.0434881523251534,0.956511855125427,
https://sentinelpro.com,https://sentinelpro.com/assets/images/home-main-slide-3.png,normal,normal,2.15%,97.85%,,0.11%,99.89%,,0.02%,0.02%,0.13%,99.83%,,,,The size of tensor a (4) must match the size of tensor b (3) at non-singleton dimension 0
http://outway.com,http://outway.com/cdn/shop/files/DayNNight-Crew_02_316341b7-d885-4829-baf4-50bf138faf4f.png?crop=center&height=16&v=1758306135&width=20,safe,normal,10.60%,89.40%,,0.63%,99.37%,,0.10%,0.07%,0.16%,99.67%,,,,The size of tensor a (4) must match the size of tensor b (3) at non-singleton dimension 0
https://sentinelpro.com,https://sentinelpro.com/assets/images/partner/sr.png,safe,normal,20.37%,79.63%,,0.49%,99.51%,,0.10%,0.12%,0.16%,99.62%,,,,The size of tensor a (4) must match the size of tensor b (3) at non-singleton dimension 0
https://www.effon.com,https://www.effon.com/wp-content/uploads/elementor/thumbs/EFFON-LOGO-qfaku9i5xs8rchgpsq6y1xvo6jyg9u36dmcdt87u2o.png,normal,normal,8.02%,91.98%,,0.16%,99.84%,,0.06%,0.12%,0.16%,99.66%,,,,The size of tensor a (4) must match the size of tensor b (3) at non-singleton dimension 0
https://sentinelpro.com,https://sentinelpro.com/assets/images/home-main-slide-2.png,normal,normal,1.46%,98.54%,,0.04%,99.96%,,0.03%,0.02%,0.18%,99.78%,,,,The size of tensor a (4) must match the size of tensor b (3) at non-singleton dimension 0
http://outway.com,http://outway.com/cdn/shop/files/Explorer-SubMerino-CrewPack-flat.png?v=1768422405&width=20,normal,normal,3.72%,96.28%,,0.10%,99.90%,,0.07%,0.01%,0.20%,99.72%,,,,The size of tensor a (4) must match the size of tensor b (3) at non-singleton dimension 0
https://uniuni.com,https://cdn.uniuni.com/wp-content/uploads/2025/10/Group-47988.png,normal,,5.83%,94.17%,,0.04%,99.96%,,0.18%,0.03%,0.21%,99.57%,,,,The size of tensor a (4) must match the size of tensor b (3) at non-singleton dimension 0
http://outway.com,http://outway.com/cdn/shop/files/homepage-sock-category_3.png?v=1760044973&width=20,normal,normal,2.06%,97.94%,,0.05%,99.95%,,0.08%,0.05%,0.23%,99.64%,,0.0658284947276115,0.934171497821808,
http://outway.com,http://outway.com/cdn/shop/files/merinooo.png?crop=center&height=7&v=1770267788&width=20,safe,normal,8.36%,91.64%,,1.51%,98.49%,,0.19%,0.07%,0.24%,99.50%,,,,The size of tensor a (4) must match the size of tensor b (3) at non-singleton dimension 0
https://uniuni.com,https://cdn.uniuni.com/wp-content/uploads/2025/07/logo_horizontal_white-scaled.png,normal,,20.27%,79.73%,,0.92%,99.08%,,0.18%,0.85%,0.26%,98.71%,,,,"output with shape [1, 384, 384] doesn't match the broadcast shape [3, 384, 384]"
http://outway.com,http://outway.com/cdn/shop/files/Drifter-SubMerino-Crew_01.png?v=1769535193&width=20,normal,normal,5.74%,94.26%,,0.06%,99.94%,,0.07%,0.03%,0.26%,99.64%,,,,The size of tensor a (4) must match the size of tensor b (3) at non-singleton dimension 0
http://outway.com,http://outway.com/cdn/shop/files/RetroOffWhite-Crew_01_f9aab4f7-20c0-478a-a1f4-3f497008ce38.png?crop=center&height=16&v=1758126368&width=20,safe,normal,3.56%,96.44%,,0.74%,99.26%,,0.02%,0.02%,0.30%,99.67%,,,,The size of tensor a (4) must match the size of tensor b (3) at non-singleton dimension 0
http://outway.com,https://cdn.shopify.com/s/files/1/1477/6714/files/techDraft_image.png?v=1706051937,normal,normal,27.77%,72.23%,,0.34%,99.66%,,0.02%,0.02%,0.36%,99.60%,,,,The size of tensor a (4) must match the size of tensor b (3) at non-singleton dimension 0
http://outway.com,http://outway.com/cdn/shop/files/Vancouver-SubMerino-Crew_02.png?v=1769535194&width=20,normal,normal,2.26%,97.74%,,0.06%,99.94%,,0.18%,0.01%,0.37%,99.44%,,,,The size of tensor a (4) must match the size of tensor b (3) at non-singleton dimension 0
http://outway.com,http://outway.com/cdn/shop/files/NatureTrip-SubMerino-Crew_01.png?v=1769535193&width=20,normal,normal,9.94%,90.06%,,0.03%,99.97%,,0.19%,0.05%,0.38%,99.37%,,,,The size of tensor a (4) must match the size of tensor b (3) at non-singleton dimension 0
http://outway.com,http://outway.com/cdn/shop/files/Artboard_7_e7d7e6a6-7585-4f16-a3a1-c109cdb2df88.jpg?v=1730262996&width=20,safe,normal,13.27%,86.73%,,2.19%,97.81%,,0.15%,0.25%,0.40%,99.21%,,0.102564223110676,0.897435784339905,
http://outway.com,http://outway.com/cdn/shop/files/FreeRide-SubMerino-Crew_01.png?v=1769535194&width=20,normal,normal,5.15%,94.85%,,0.08%,99.92%,,0.04%,0.002%,0.46%,99.51%,,,,The size of tensor a (4) must match the size of tensor b (3) at non-singleton dimension 0
http://outway.com,http://outway.com/cdn/shop/files/BrightNight-SubMerino-Crew_01.png?v=1769535195&width=20,normal,normal,3.84%,96.16%,,0.07%,99.93%,,0.04%,0.01%,0.47%,99.48%,,,,The size of tensor a (4) must match the size of tensor b (3) at non-singleton dimension 0
http://outway.com,http://outway.com/cdn/shop/files/nature2.png?crop=center&height=25&v=1770251525&width=20,safe,normal,16.43%,83.57%,,1.65%,98.35%,,0.95%,0.15%,0.49%,98.41%,,,,The size of tensor a (4) must match the size of tensor b (3) at non-singleton dimension 0
https://www.effon.com,https://www.effon.com/wp-content/uploads/2023/11/85D@3@4RVJV70E@7O-300x300.png,normal,normal,1.13%,98.87%,,0.03%,99.97%,,2.54%,0.07%,0.58%,96.82%,,0.0614996366202831,0.938500344753265,
http://outway.com,http://outway.com/cdn/shop/files/Vancouver-SubMerino-Crew_01.png?v=1769535194&width=20,normal,normal,2.44%,97.56%,,0.05%,99.95%,,0.05%,0.02%,0.67%,99.26%,,,,The size of tensor a (4) must match the size of tensor b (3) at non-singleton dimension 0
http://outway.com,http://outway.com/cdn/shop/files/BoxingDay_Hero_BG-d.jpg?crop=center&height=8&v=1766100301&width=20,safe,normal,18.57%,81.43%,,1.11%,98.89%,,0.08%,0.07%,0.77%,99.08%,,0.135876074433327,0.86412388086319,
http://outway.com,http://outway.com/cdn/shop/files/homepage-sock-category_1.png?v=1760044974&width=20,safe,normal,32.77%,67.23%,,8.81%,91.19%,,0.71%,0.88%,0.78%,97.63%,,0.121387928724289,0.878612041473389,
https://www.effon.com,https://www.effon.com/wp-content/uploads/2023/11/AG4BU0I95ACPD_@_QC9-300x300.png,normal,normal,6.23%,93.77%,,0.02%,99.98%,,4.77%,0.11%,0.85%,94.28%,,0.0558170080184937,0.944182991981506,
http://outway.com,http://outway.com/cdn/shop/files/Drifter-SubMerino-Crew_02.png?v=1769535193&width=20,normal,normal,4.63%,95.37%,,0.09%,99.91%,,0.20%,0.01%,0.99%,98.80%,,,,The size of tensor a (4) must match the size of tensor b (3) at non-singleton dimension 0
http://outway.com,http://outway.com/cdn/shop/files/Explorer-SubMerino-CrewPack.png?v=1768422401&width=20,normal,normal,5.17%,94.83%,,0.29%,99.71%,,0.88%,0.02%,1.75%,97.36%,,,,The size of tensor a (4) must match the size of tensor b (3) at non-singleton dimension 0
http://outway.com,http://outway.com/cdn/shop/files/Artboard_3_bae85310-3718-471d-88ac-b777770ec589.jpg?v=1730262996&width=20,normal,normal,7.43%,92.57%,,0.07%,99.93%,,0.14%,0.05%,1.87%,97.94%,,0.0739540010690689,0.926046013832092,
http://outway.com,http://outway.com/cdn/shop/files/BoxingDay_Hero_BG-m.jpg?crop=center&height=40&v=1766100301&width=20,normal,normal,2.84%,97.16%,,0.15%,99.85%,,0.24%,0.01%,3.48%,96.27%,,0.0807652026414871,0.919234812259674,
http://outway.com,http://outway.com/cdn/shop/files/NatureTrip-SubMerino-Crew_02.png?v=1769535193&width=20,normal,normal,2.63%,97.37%,,0.05%,99.95%,,2.12%,0.35%,3.61%,93.91%,,,,The size of tensor a (4) must match the size of tensor b (3) at non-singleton dimension 0
http://outway.com,http://outway.com/cdn/shop/files/BrightNight-SubMerino-Crew_02.png?v=1769535195&width=20,normal,normal,2.98%,97.02%,,0.02%,99.98%,,0.66%,0.12%,4.58%,94.64%,,,,The size of tensor a (4) must match the size of tensor b (3) at non-singleton dimension 0
http://outway.com,http://outway.com/cdn/shop/files/Meandering-SubMerino-Crew_02.png?v=1769535193&width=20,normal,normal,5.33%,94.67%,,0.04%,99.96%,,1.63%,0.38%,4.86%,93.13%,,,,The size of tensor a (4) must match the size of tensor b (3) at non-singleton dimension 0
http://outway.com,http://outway.com/cdn/shop/files/FreeRide-SubMerino-Crew_02.png?v=1769535194&width=20,normal,normal,4.10%,95.90%,,0.09%,99.91%,,0.49%,0.05%,5.43%,94.04%,,,,The size of tensor a (4) must match the size of tensor b (3) at non-singleton dimension 0
http://outway.com,http://outway.com/cdn/shop/files/Meandering-SubMerino-Crew_01.png?v=1769535193&width=20,normal,normal,7.48%,92.52%,,0.11%,99.89%,,0.51%,0.14%,5.44%,93.91%,,,,The size of tensor a (4) must match the size of tensor b (3) at non-singleton dimension 0
http://outway.com,http://outway.com/cdn/shop/files/TakeAHike-SubMerino-Crew_02.png?v=1769535194&width=20,normal,normal,3.45%,96.55%,,0.55%,99.45%,,0.77%,0.17%,6.02%,93.04%,,,,The size of tensor a (4) must match the size of tensor b (3) at non-singleton dimension 0
